movie_id,genre_id
1,7
1,10
2,7
2,8
3,4
3,1
4,3
4,21
5,21
5,3
6,6
6,3
7,23
7,2
8,10
8,7
9,3
9,21
10,7
10,10
11,2
11,23
12,6
12,3
13,7
13,1
13,8
14,7
14,5
15,6
15,3
16,2
16,23
17,10
17,7
18,6
18,3
19,7
19,5
20,2
20,23
21,7
21,10
22,23
22,2
23,3
23,21
24,7
24,5
25,4
25,1
25,7
26,3
26,21
27,8
27,7
28,8
28,7
28,1
29,3
29,21
30,6
30,3
31,4
31,1
32,7
32,5
33,1
33,8
33,7
34,8
34,7
34,1
35,23
35,2
36,5
36,7
37,8
37,1
37,7
38,2
38,23
39,7
39,5
40,8
40,1
41,23
41,2
42,1
42,7
43,10
43,7
44,4
44,1
45,7
45,10
46,21
46,3
47,10
47,7
48,7
48,10
49,2
49,23
50,8
50,7
51,7
51,1
51,8
52,7
52,10
53,10
53,7
54,10
54,7
55,7
55,5
56,4
56,7
56,1
57,3
57,21
58,7
58,5
59,7
59,4
60,10
60,7
61,1
61,7
61,8
62,5
62,7
63,2
63,23
64,6
64,3
65,23
65,2
66,7
66,10
67,6
67,3
68,3
68,6
69,6
69,3
70,2
70,23
71,21
71,3
72,21
72,3
73,3
73,21
74,3
74,6
75,2
75,23
76,6
76,3
77,1
77,7
78,23
78,2
79,7
79,10
80,7
80,10
81,5
81,7
82,23
82,2
83,7
83,5
84,6
84,3
85,23
85,2
86,6
86,3
87,23
87,2
88,6
88,3
89,7
89,5
90,7
90,4
90,1
91,1
91,8
91,7
92,7
92,10
93,23
93,2
94,7
94,5
95,3
95,6
96,3
96,6
97,7
97,10
98,5
98,7
99,21
99,3
100,21
100,3
101,21
101,3
102,21
102,3
103,1
103,7
104,7
104,5
105,7
105,10
106,7
106,5
107,10
107,7
108,2
108,23
109,3
109,6
110,7
110,4
111,3
111,6
112,21
112,3
113,21
113,3
114,1
114,4
114,7
115,10
115,7
116,10
116,7
117,6
117,3
118,4
118,1
119,7
119,10
120,3
120,6
121,7
121,10
122,3
122,21
123,21
123,3
124,1
124,7
124,8
125,2
125,23
126,1
126,4
126,7
127,23
127,2
128,21
128,3
129,1
129,7
130,2
130,23
131,6
131,3
132,5
132,7
133,7
133,10
134,1
134,8
134,7
135,10
135,7
136,21
136,3
137,1
137,4
137,7
138,2
138,23
139,10
139,7
140,3
140,6
141,7
141,10
142,4
142,7
142,1
143,7
143,10
144,3
144,21
145,3
145,6
146,7
146,4
147,3
147,21
148,1
148,7
148,4
149,23
149,2
150,2
150,23
151,5
151,7
152,10
152,7
153,3
153,6
154,5
154,7
155,7
155,4
155,1
156,4
156,7
156,1
157,21
157,3
158,1
158,7
158,4
159,7
159,5
160,5
160,7
161,1
161,7
161,8
162,1
162,8
163,7
163,5
164,7
164,1
164,8
165,8
165,1
166,8
166,1
166,7
167,3
167,6
168,21
168,3
169,1
169,8
170,3
170,21
171,3
171,6
172,21
172,3
173,10
173,7
174,21
174,3
175,7
175,10
176,21
176,3
177,7
177,5
178,1
178,8
178,7
179,3
179,6
180,3
180,21
181,1
181,4
181,7
182,7
182,10
183,4
183,1
183,7
184,21
184,3
185,21
185,3
186,3
186,6
187,7
187,8
187,1
188,23
188,2
189,10
189,7
190,7
190,1
191,3
191,21
192,6
192,3
193,10
193,7
194,21
194,3
195,7
195,1
196,23
196,2
197,21
197,3
198,1
198,4
198,7
199,10
199,7
200,7
200,1
200,4
201,3
201,21
202,23
202,2
203,23
203,2
204,10
204,7
205,7
205,4
206,10
206,7
207,23
207,2
208,6
208,3
209,1
209,8
209,7
210,7
210,5
211,8
211,1
211,7
212,5
212,7
213,7
213,1
214,23
214,2
215,5
215,7
216,7
216,5
217,10
217,7
218,8
218,1
218,7
219,7
219,10
220,2
220,23
221,8
221,1
221,7
222,23
222,2
223,21
223,3
224,23
224,2
225,3
225,21
226,1
226,7
226,4
227,23
227,2
228,23
228,2
229,7
229,1
230,7
230,10
231,1
231,8
232,23
232,2
233,23
233,2
234,21
234,3
235,23
235,2
236,10
236,7
237,23
237,2
238,1
238,4
238,7
239,1
239,4
239,7
240,3
240,6
241,5
241,7
242,6
242,3
243,6
243,3
244,3
244,21
245,21
245,3
246,1
246,7
247,7
247,1
248,7
248,10
249,1
249,8
249,7
250,10
250,7
251,3
251,21
252,10
252,7
253,3
253,21
254,7
254,5
255,7
255,10
256,3
256,6
257,8
257,1
258,23
258,2
259,6
259,3
260,7
260,5
261,7
261,10
262,1
262,7
263,7
263,4
264,4
264,1
264,7
265,3
265,21
266,23
266,2
267,7
267,10
268,23
268,2
269,10
269,7
270,7
270,10
271,21
271,3
272,5
272,7
273,8
273,7
274,21
274,3
275,5
275,7
276,3
276,6
277,23
277,2
278,7
278,5
279,23
279,2
280,7
280,1
280,4
281,7
281,10
282,3
282,21
283,6
283,3
284,1
284,7
285,3
285,6
286,3
286,6
287,6
287,3
288,23
288,2
289,10
289,7
290,4
290,7
290,1
291,7
291,5
292,5
292,7
293,1
293,8
293,7
294,2
294,23
295,23
295,2
296,8
296,7
296,1
297,7
297,5
298,7
298,5
299,7
299,8
299,1
300,6
300,3
301,3
301,21
302,7
302,10
303,1
303,7
304,21
304,3
305,8
305,1
305,7
306,8
306,1
306,7
307,21
307,3
308,8
308,1
309,2
309,23
310,1
310,7
310,4
311,5
311,7
312,23
312,2
313,4
313,1
313,7
314,1
314,7
314,4
315,3
315,21
316,7
316,10
317,7
317,1
318,1
318,7
318,4
319,8
319,7
319,1
320,7
320,1
320,8
321,1
321,7
321,4
322,21
322,3
323,23
323,2
324,2
324,23
325,21
325,3
326,10
326,7
327,5
327,7
328,23
328,2
329,2
329,23
330,21
330,3
331,23
331,2
332,1
332,8
332,7
333,10
333,7
334,21
334,3
335,5
335,7
336,10
336,7
337,7
337,8
337,1
338,4
338,1
339,10
339,7
340,7
340,10
341,23
341,2
342,6
342,3
343,23
343,2
344,10
344,7
345,6
345,3
346,6
346,3
347,10
347,7
348,21
348,3
349,4
349,7
350,3
350,6
351,2
351,23
352,7
352,10
353,6
353,3
354,6
354,3
355,7
355,8
355,1
356,7
356,5
357,3
357,21
358,6
358,3
359,7
359,4
360,21
360,3
361,7
361,10
362,21
362,3
363,3
363,21
364,23
364,2
365,2
365,23
366,1
366,4
366,7
367,7
367,5
368,21
368,3
369,1
369,8
370,3
370,21
371,3
371,21
372,2
372,23
373,21
373,3
374,3
374,6
375,3
375,6
376,1
376,7
376,4
377,7
377,8
378,8
378,1
379,21
379,3
380,3
380,6
381,7
381,1
382,7
382,10
383,2
383,23
384,1
384,7
384,8
385,8
385,7
385,1
386,3
386,6
387,7
387,5
388,2
388,23
389,6
389,3
390,3
390,6
391,6
391,3
392,1
392,7
392,8
393,7
393,5
394,5
394,7
395,21
395,3
396,4
396,1
396,7
397,3
397,21
398,4
398,7
399,5
399,7
400,23
400,2
401,10
401,7
402,3
402,21
403,2
403,23
404,1
404,7
404,8
405,21
405,3
406,1
406,8
406,7
407,21
407,3
408,5
408,7
409,23
409,2
410,7
410,4
410,1
411,21
411,3
412,5
412,7
413,3
413,6
414,3
414,6
415,6
415,3
416,2
416,23
417,1
417,7
418,7
418,5
419,5
419,7
420,8
420,7
420,1
421,7
421,1
421,4
422,5
422,7
423,3
423,21
424,3
424,6
425,23
425,2
426,3
426,21
427,3
427,6
428,6
428,3
429,7
429,10
430,7
430,5
431,7
431,10
432,7
432,5
433,21
433,3
434,4
434,1
434,7
435,5
435,7
436,3
436,6
437,23
437,2
438,2
438,23
439,7
439,5
440,7
440,5
441,4
441,7
441,1
442,5
442,7
443,7
443,10
444,21
444,3
445,1
445,7
445,8
446,3
446,21
447,3
447,6
448,7
448,8
448,1
449,21
449,3
450,5
450,7
451,6
451,3
452,3
452,6
453,21
453,3
454,3
454,21
455,6
455,3
456,8
456,7
456,1
457,7
457,10
458,7
458,5
459,21
459,3
460,3
460,21
461,3
461,21
462,7
462,5
463,23
463,2
464,1
464,7
465,3
465,21
466,7
466,10
467,5
467,7
468,7
468,8
469,23
469,2
470,1
470,7
470,4
471,2
471,23
472,7
472,10
473,7
473,5
474,3
474,6
475,4
475,1
476,2
476,23
477,7
477,10
478,6
478,3
479,7
479,10
480,4
480,1
481,21
481,3
482,5
482,7
483,23
483,2
484,6
484,3
485,21
485,3
486,10
486,7
487,1
487,7
488,6
488,3
489,7
489,10
490,7
490,8
491,3
491,6
492,8
492,7
493,7
493,1
493,8
494,5
494,7
495,7
495,8
495,1
496,23
496,2
497,6
497,3
498,23
498,2
499,4
499,7
499,1
500,6
500,3
501,1
501,8
501,7
502,10
502,7
503,6
503,3
504,23
504,2
505,6
505,3
506,7
506,10
507,4
507,1
507,7
508,3
508,21
509,10
509,7
510,3
510,21
511,7
511,4
511,1
512,1
512,7
512,4
513,2
513,23
514,1
514,7
515,10
515,7
516,7
516,1
517,4
517,1
518,7
518,5
519,21
519,3
520,3
520,21
521,3
521,6
522,2
522,23
523,5
523,7
524,2
524,23
525,7
525,5
526,7
526,5
527,7
527,1
528,3
528,6
529,7
529,5
530,4
530,1
531,4
531,7
532,6
532,3
533,1
533,8
534,4
534,7
535,7
535,5
536,8
536,7
537,23
537,2
538,2
538,23
539,2
539,23
540,23
540,2
541,23
541,2
542,7
542,1
543,5
543,7
544,7
544,10
545,3
545,6
546,3
546,21
547,3
547,21
548,1
548,7
549,7
549,4
550,5
550,7
551,5
551,7
552,10
552,7
553,7
553,8
553,1
554,7
554,10
555,6
555,3
556,7
556,5
557,7
557,10
558,10
558,7
559,7
559,10
560,8
560,1
560,7
561,4
561,7
561,1
562,2
562,23
563,7
563,5
564,7
564,5
565,7
565,4
566,10
566,7
567,10
567,7
568,4
568,7
569,10
569,7
570,7
570,8
570,1
571,4
571,7
571,1
572,1
572,8
573,7
573,1
573,4
574,7
574,10
575,2
575,23
576,23
576,2
577,7
577,8
578,5
578,7
579,5
579,7
580,6
580,3
581,5
581,7
582,7
582,8
583,8
583,1
583,7
584,23
584,2
585,5
585,7
586,7
586,1
587,7
587,5
588,2
588,23
589,23
589,2
590,10
590,7
591,7
591,1
591,4
592,7
592,5
593,3
593,6
594,5
594,7
595,4
595,1
595,7
596,1
596,8
597,7
597,1
597,4
598,10
598,7
599,21
599,3
600,1
600,8
600,7
601,7
601,1
602,7
602,10
603,2
603,23
604,21
604,3
605,23
605,2
606,21
606,3
607,10
607,7
608,10
608,7
609,7
609,8
610,10
610,7
611,6
611,3
612,3
612,6
613,7
613,5
614,23
614,2
615,8
615,7
615,1
616,6
616,3
617,4
617,1
617,7
618,3
618,21
619,1
619,8
619,7
620,5
620,7
621,10
621,7
622,5
622,7
623,21
623,3
624,23
624,2
625,6
625,3
626,1
626,7
626,8
627,3
627,21
628,3
628,6
629,6
629,3
630,4
630,1
631,21
631,3
632,2
632,23
633,10
633,7
634,23
634,2
635,8
635,1
635,7
636,3
636,21
637,6
637,3
638,7
638,5
639,6
639,3
640,6
640,3
641,5
641,7
642,10
642,7
643,6
643,3
644,7
644,5
645,4
645,1
646,6
646,3
647,7
647,5
648,23
648,2
649,4
649,7
650,21
650,3
651,21
651,3
652,23
652,2
653,1
653,7
654,3
654,21
655,6
655,3
656,3
656,21
657,6
657,3
658,3
658,21
659,23
659,2
660,6
660,3
661,2
661,23
662,21
662,3
663,7
663,5
664,7
664,10
665,1
665,7
665,4
666,1
666,7
667,4
667,7
668,1
668,8
668,7
669,10
669,7
670,23
670,2
671,3
671,21
672,10
672,7
673,3
673,6
674,7
674,8
674,1
675,7
675,1
675,8
676,21
676,3
677,21
677,3
678,3
678,21
679,7
679,10
680,10
680,7
681,7
681,5
682,3
682,21
683,10
683,7
684,3
684,21
685,5
685,7
686,2
686,23
687,23
687,2
688,8
688,7
689,10
689,7
690,7
690,5
691,5
691,7
692,7
692,5
693,3
693,6
694,6
694,3
695,7
695,10
696,10
696,7
697,21
697,3
698,1
698,4
698,7
699,7
699,1
700,1
700,7
700,8
701,10
701,7
702,4
702,7
703,21
703,3
704,2
704,23
705,7
705,10
706,10
706,7
707,21
707,3
708,5
708,7
709,7
709,10
710,7
710,10
711,7
711,4
712,7
712,10
713,1
713,7
714,7
714,10
715,7
715,10
716,6
716,3
717,21
717,3
718,3
718,6
719,2
719,23
720,7
720,10
721,23
721,2
722,21
722,3
723,3
723,21
724,5
724,7
725,3
725,21
726,23
726,2
727,2
727,23
728,5
728,7
729,21
729,3
730,8
730,7
731,8
731,7
731,1
732,1
732,7
733,7
733,5
734,3
734,6
735,21
735,3
736,21
736,3
737,1
737,7
737,8
738,8
738,7
739,10
739,7
740,3
740,21
741,7
741,1
742,21
742,3
743,3
743,21
744,2
744,23
745,7
745,5
746,7
746,10
747,2
747,23
748,7
748,5
749,5
749,7
750,10
750,7
751,6
751,3
752,7
752,5
753,3
753,6
754,6
754,3
755,23
755,2
756,7
756,8
756,1
757,21
757,3
758,8
758,7
758,1
759,5
759,7
760,7
760,5
761,7
761,5
762,7
762,5
763,4
763,1
763,7
764,2
764,23
765,7
765,10
766,7
766,1
767,7
767,10
768,1
768,7
768,4
769,3
769,21
770,21
770,3
771,8
771,1
771,7
772,7
772,1
773,21
773,3
774,7
774,10
775,7
775,5
776,6
776,3
777,23
777,2
778,6
778,3
779,23
779,2
780,7
780,10
781,5
781,7
782,5
782,7
783,1
783,4
784,7
784,5
785,23
785,2
786,7
786,5
787,21
787,3
788,23
788,2
789,1
789,4
789,7
